question_id,label
393251003,2
569177002,7
10784005,7
12057000,5
6182000,5
401835003,1
353098025,7
271729000,0
524905006,5
135163001,4
263764000,7
148994012,4
150773000,0
218606001,5
268195016,9
524677001,5
13874001,7
11996002,0
8789002,6
236074001,4
395740004,1
2066002,5
264353001,5
142350003,4
278238000,4
263957000,9
10369000,3
1518002,6
146121002,2
191350000,7
145062000,8
396743003,3
415570003,6
537825003,2
43774001,2
139702000,8
264079003,6
280923002,0
14329000,6
272026021,3
371939000,0
16142006,4
3770003,7
149179013,9
176720002,0
393661021,5
397105003,9
144796002,6
18373003,8
407698000,0
404495000,7
284732001,2
530390008,8
274514009,7
279182065,9
68030001,1
409767002,2
6295004,7
44446002,6
132310010,1
149810002,0
21213001,7
153985000,9
353098034,7
263764126,7
146933005,3
270636001,7
410585000,5
397307001,6
8043002,2
148361000,0
533897010,6
255937011,5
396725005,2
395684000,3
131534002,7
285486001,9
404361003,3
403916000,5
141893002,0
409909000,5
306376010,2
413628004,2
141947000,7
263047001,6
404005005,4
9760000,9
525529000,6
133937001,4
18157002,0
306440000,4
276491002,9
12999004,8
404114006,9
534000026,3
491525008,4
197689003,6
142378000,6
533757000,4
366651001,1
405864002,3
100486002,5
402245003,8
248033001,7
176032002,5
7953002,4
271254000,6
268195009,9
408048006,6
9771004,7
396725016,2
533451004,1
263278000,0
131909000,2
157198004,2
140284005,4
542213010,1
395958001,9
141862040,1
88270003,8
148291001,3
527656000,0
541105005,7
524866005,3
309404000,2
13355003,0
9771002,7
143286005,0
404361004,6
274633002,6
265663001,9
264158004,6
506550005,4
536146000,7
405060002,7
175558004,4
410904002,4
398535005,8
281382000,3
309404016,2
529283001,7
149179006,9
109409000,5
474858009,0
415232018,4
280622000,0
133508000,0
144000,1
74253000,9
20742002,7
13728000,0
14034003,3
400999003,3
263764118,7
4642005,3
16669002,9
706004,5
570598003,6
176720000,0
148474014,4
542602003,5
543994000,9
403916001,5
404114002,9
273979004,3
265745004,9
139836004,5
139796002,1
532638018,6
142674000,1
536103004,6
526922002,8
273497001,3
405013009,5
273904004,8
265196002,3
279182057,9
153572011,0
393854001,6
530690001,7
406601006,5
14960001,4
145313003,6
542221001,9
134294026,4
148986004,5
270275000,8
137006002,2
263212002,9
15652005,5
147539002,1
706000,8
236318009,3
411815002,8
524975003,2
525501013,8
534000025,3
405683003,5
65984010,4
8429001,1
415435000,7
440049000,3
437297000,7
532895001,1
3219002,3
6846000,4
534900004,6
529117006,5
7535002,0
406805002,2
436017,1
145313001,6
264395003,1
409739002,1
269592012,9
459401002,5
278612006,0
329150001,3
405013011,1
279477001,3
409949006,0
533803007,1
306621000,6
534900012,6
538633002,2
88875001,0
527907013,4
11158002,8
7420011,2
133114003,8
536935000,3
149179023,9
547165017,3
534107002,5
526522002,2
266133001,5
277665001,6
533898000,3
149179007,9
268510009,7
265619000,8
396725023,2
529360007,1
253848001,6
528116007,5
272082002,4
371486000,6
396247002,8
19239002,8
504277000,8
137847000,5
13576000,1
534417003,0
276047001,8
166207006,4
271736002,6
277145004,5
265843001,3
141448009,6
14801010,0
405401002,8
489107019,4
151053005,3
412076000,8
19838001,4
406196004,8
538090000,1
536100001,6
16827006,4
542426003,8
541472000,9
526290000,4
279182021,9
144002,5
8657003,4
17629000,9
409091003,2
400706002,4
531459002,0
353098022,7
263878013,1
132529002,1
267779015,7
506605003,9
273979000,9
18866001,4
527656004,0
399973001,4
412657002,9
372871001,6
273979001,9
22882039,3
396725010,2
274386002,0
241527002,9
327682004,0
541893002,6
414923003,0
255937015,5
78684006,0
270636008,7
550239020,2
149253004,1
281327017,7
134378001,8
133315015,8
274477000,3
414961018,7
403627002,5
148780000,0
11256003,8
417261005,0
12916000,4
3911027,3
131909026,2
267719000,3
279182034,9
521824007,0
148422001,4
267649000,1
484201006,9
13172002,7
126681000,8
264091003,0
151637005,7
25001,1
268617001,4
543661002,2
144503002,8
269051023,8
135288003,2
458763000,3
139586004,8
404361001,6
140114005,2
531860001,9
546695002,2
5425000,0
395965008,1
539359004,1
528840001,0
531396000,7
279182041,9
139344005,8
393577002,7
15652002,1
398850003,6
399558000,5
278555001,0
134829002,8
301754001,6
178957001,5
413374000,3
538182002,1
143425013,8
269051015,1
138749000,0
21883009,4
277352002,5
400199007,1
139336001,5
532638015,6
152871010,2
459659000,1
13754000,1
530592004,7
136970006,8
527183001,5
156258001,3
440285009,2
525790007,0
135626000,7
536474003,6
276004006,3
395120002,9
544188000,8
279584013,1
570518000,6
405864001,3
274690002,4
404865004,2
401847002,8
529511003,6
400377003,2
139604003,2
526887004,0
403335002,7
397105002,9
275663005,6
275922000,4
12784004,3
271360010,8
547944001,6
395341006,8
262545002,0
86002,4
4259011,2
134697002,0
510665022,8
393781007,6
533800006,9
400353001,5
269232004,1
141448002,6
397976000,5
19926000,7
533454001,7
116994001,8
255937013,5
408405003,1
146249002,2
526782001,5
543333003,3
203433003,7
18333005,3
22229000,7
276017003,7
151658000,0
706002,5
534892001,2
140738004,8
10871000,4
132002000,6
279511020,1
265745001,9
38117001,0
527785005,8
144832009,7
25105001,8
401416003,1
10407002,6
149842002,5
329268003,1
152614002,4
408048003,6
144056006,7
5011000,5
271890003,6
308752004,7
529827001,7
536626006,8
15552001,9
148394000,6
282899001,9
139336002,5
398596008,0
310128002,0
145179001,1
524866016,9
272797002,4
8062000,6
271360007,8
12792003,1
273288000,9
531316000,2
274642003,1
131909030,2
279479008,3
264020000,1
527866000,3
397167007,9
279182040,9
504027003,9
206109000,9
145351003,1
139344003,5
264365001,3
550239034,2
352288004,7
266655004,9
133467031,4
404007001,5
519489002,1
527526004,8
22116000,7
534627000,5
145337001,6
529532001,5
109119000,7
278910006,5
266715003,9
150082001,0
280442001,3
152871006,2
134294000,4
149921001,1
154212006,2
529804001,2
403868000,6
16935002,1
406855000,4
542475002,4
528131003,0
526713014,5
400377001,4
131087000,0
270379001,9
399841001,1
6447000,5
395337001,6
277798001,3
397064006,7
21883007,4
4714001,3
530713002,2
413868006,4
403271001,4
546274000,0
279182063,9
140473000,0
460296000,6
146098003,9
151408005,7
547284000,2
396725013,2
410398008,3
268317003,2
7040001,5
143984003,7
145845007,1
141862038,1
265273009,4
276711064,7
19489000,4
145479003,8
275700002,9
548702001,9
109409002,1
395432000,5
513099000,5
17936006,3
524956000,7
111945000,1
403888003,2
408556001,1
402184000,8
5688000,8
536474002,6
408333000,1
277999002,8
567721004,9
402170007,3
148642002,0
264158000,6
539556000,5
22529004,8
136111001,9
217899000,8
265074003,6
145128001,4
396481012,8
276247003,6
44569003,9
192953000,2
141207002,8
279511010,1
10881002,1
436621000,5
408479000,1
168239003,3
563921002,9
148986005,5
526247000,3
13874000,7
278910002,5
263278001,0
139604005,2
154349011,0
